,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [0], [2, 1], [1, 0, 2], [3, 3, 2, 1], [1, 1, 1, 1, 1], []]",0.2551562445185869,6,(((Constant/Constant)**Constant)/(Constant*Constant-Constant)**Constant),"[1, 1, 1, 2, 3, 4, 5, 0]",(((0.20342658566689253/0.3704739484551739)**0.24021762708022487)/(0.6753242925187875*0.7670988195928925-0.20129401684606374)**0.6615531744089902),"[0.20342659 0.37047395 0.24021763 0.67532429 0.76709882 0.20129402
 0.66155317]",0.3242254512425524,"{'fitness 25': 0.2551562445185869, 'fitness 53': 0.33156265289760334, 'fitness 74': 0.32166016740265696, 'fitness 102': 0.3194535334273969}",False
1,"[[0], [2], [1], [3, 1], [2, 0], [0, 0, 3], [1, 0, 1, 0], [0, 0]]",0.31573310282950495,7,((Constant+(x[0]+Constant/x[0]))**Constant),"[1, 1, 1, 2, 2, 3, 4, 2]",((0.9525621774464381+(x[0]+0.38861356535694247/x[0]))**0.7065959252427021),[0.95256218 0.38861357 0.70659593],0.384742428134121,"{'fitness 25': 0.31573310282950495, 'fitness 53': 0.3926557732953781, 'fitness 74': 0.38263222756025195, 'fitness 102': 0.3789392835467331}",False
2,"[[0], [2], [1], [2, 1, 0, 0], [2, 0, 2], [0, 0, 3], [0, 0, 1, 0], [0, 0, 0]]",0.4182082676037164,7,(((x[0]**Constant)+(x[0]+Constant/x[0]))**Constant),"[1, 1, 1, 2, 3, 3, 4, 3]",(((x[0]**0.4855602333225447)+(x[0]+0.5396639233220208/x[0]))**0.466378382428457),[0.48556023 0.53966392 0.46637838],0.5199593582584721,"{'fitness 25': 0.4182082676037164, 'fitness 53': 0.5202942224582536, 'fitness 74': 0.5210298371978666, 'fitness 102': 0.518554015119296}",False
3,"[[0], [0], [2, 3], [2], [2], [0], [0, 1], [0]]",0.4750616509714681,7,((x[0]**Constant)**Constant)+Constant,"[1, 1, 2, 1, 1, 1, 2, 1]",((x[0]**0.3839004711301167)**0.48792127368618354)+0.49355807411549324,[0.38390047 0.48792127 0.49355807],0.5784545234950854,"{'fitness 25': 0.4750616509714681, 'fitness 53': 0.5783739330533786, 'fitness 74': 0.5783161514527544, 'fitness 102': 0.5786734859791233}",False
4,"[[0], [1], [3, 0], [1, 2], [0, 2, 0], [0, 3, 1, 2, 1], [1, 1, 0, 1, 1, 0], [1, 0]]",0.49164094904938743,7,(Constant+(Constant/x[1]-Constant)*(Constant-x[0]**Constant)),"[1, 1, 2, 2, 3, 5, 6, 2]",(0.9796210120895493+(0.2928498003585813/x[1]-0.836814530758742)*(0.4095761004040174-x[0]**0.23410291332363975)),[0.97962101 0.2928498  0.83681453 0.4095761  0.23410291],0.59513466361837,"{'fitness 25': 0.49164094904938743, 'fitness 53': 0.5948072334176763, 'fitness 74': 0.5950685032240198, 'fitness 102': 0.595528254213414}",False
5,"[[0], [1], [1, 3], [0, 2], [1, 2, 0], [3, 0, 3, 2, 0], [1, 1, 1, 1, 1, 1], []]",0.5215372021439031,6,(((Constant/Constant)+Constant/(Constant*Constant**Constant))+Constant),"[1, 1, 2, 2, 3, 5, 6, 0]",(((0.1850735155309402/0.2739128914768906)+0.12058071326954645/(0.8067863255211348*0.9128354886859091**0.6308017516994702))+0.544871111292887),"[0.18507352 0.27391289 0.12058071 0.80678633 0.91283549 0.63080175
 0.54487111]",0.624548427640342,"{'fitness 25': 0.5215372021439031, 'fitness 53': 0.6210473291271917, 'fitness 74': 0.6279050282456027, 'fitness 102': 0.6246929255482313}",False
6,"[[0], [0], [1, 3], [3, 1], [0, 2], [0, 0, 3, 3], [1, 1, 1, 0, 0], [1, 0]]",0.673180164878562,7,(Constant+(Constant+Constant/x[1]))/x[0],"[1, 1, 2, 2, 2, 4, 5, 2]",(0.4388397646600145+(0.6041465898158417+0.8232922340300475/x[1]))/x[0],[0.43883976 0.60414659 0.82329223],0.7369502175128373,"{'fitness 25': 0.673180164878562, 'fitness 53': 0.7263317493761476, 'fitness 74': 0.7513989641787876, 'fitness 102': 0.7331199389835763}",False
7,"[[0], [2], [1], [3, 1], [2, 0], [0, 0, 3], [1, 0, 1, 0], [0, 0]]",0.6868794031926766,7,((Constant+(x[0]+Constant/x[0]))**Constant),"[1, 1, 1, 2, 2, 3, 4, 2]",((0.7990268042058495+(x[0]+0.7616919450699539/x[0]))**0.181484881761253),[0.7990268  0.76169195 0.18148488],0.7870955363512856,"{'fitness 25': 0.6868794031926766, 'fitness 53': 0.7817673540089821, 'fitness 74': 0.7917552875895213, 'fitness 102': 0.7877639674553536}",False
8,"[[0], [1], [1, 0], [2, 2, 0, 0], [2, 2, 0, 2, 0, 0], [2, 1, 2, 2, 2, 0, 3, 0], [1, 1, 1, 1, 0, 1, 0, 1, 1], [0, 0]]",0.7301772755379706,7,(((Constant**Constant)*(Constant**Constant))-Constant*Constant*x[0]*Constant+x[0]/Constant+Constant),"[1, 1, 2, 4, 6, 8, 9, 2]",(((0.5898463090678809**0.6052141226457782)*(0.19815825771363493**0.46217688585857997))-0.88726901528077*0.44038750091157564*x[0]*0.8110394652149556+x[0]/0.628459520064227+0.636845591906611),"[0.58984631 0.60521412 0.19815826 0.46217689 0.88726902 0.4403875
 0.81103947 0.62845952 0.63684559]",0.7478176133315432,"{'fitness 25': 0.7301772755379706, 'fitness 53': 0.7625004091575895, 'fitness 74': 0.7410456644381284, 'fitness 102': 0.7399067663989115}",False
9,"[[0], [1], [3, 3], [], [], [0], [0, 1], [0]]",0.7384823567128695,5,(x[0]+Constant),"[1, 1, 2, 0, 0, 1, 2, 1]",(x[0]+0.3678886734357666),[0.36788867],0.8384940433711866,"{'fitness 25': 0.7384823567128695, 'fitness 53': 0.8422148506932816, 'fitness 74': 0.8311277171091619, 'fitness 102': 0.8421395623111164}",False
10,"[[0], [2], [1], [3, 1], [2, 0], [0, 0, 3], [1, 0, 1, 0], [0, 0]]",0.7618632191826219,7,((Constant+(x[0]+Constant/x[0]))**Constant),"[1, 1, 1, 2, 2, 3, 4, 2]",((0.41976510116333443+(x[0]+0.2531204789350836/x[0]))**0.22926405112028436),[0.4197651  0.25312048 0.22926405],0.8619549888024892,"{'fitness 25': 0.7618632191826219, 'fitness 53': 0.8570443231380307, 'fitness 74': 0.8655167939525953, 'fitness 102': 0.8633038493168418}",False
11,"[[0], [0], [1, 3], [3, 1], [2, 0], [0, 0, 3, 3], [1, 1, 1, 0, 0], [0, 0]]",0.7919346397590936,7,(Constant+(Constant+Constant/x[0]))/x[0],"[1, 1, 2, 2, 2, 4, 5, 2]",(0.9654825193951042+(0.4687171421957623+0.20094674219541508/x[0]))/x[0],[0.96548252 0.46871714 0.20094674],0.7395047636485153,"{'fitness 25': 0.7919346397590936, 'fitness 53': 0.7791387805212343, 'fitness 74': 0.6747007420404597, 'fitness 102': 0.7646747683838517}",False
12,"[[0], [2], [0], [2, 1], [2, 2, 2], [2, 0], [0, 1, 1], [0]]",0.7987568961227915,7,((x[0]**Constant)*(Constant+Constant)**Constant),"[1, 1, 1, 2, 3, 2, 3, 1]",((x[0]**0.1655082418227175)*(0.7936082852968849+0.6280642031636104)**0.30948685612016946),[0.16550824 0.79360829 0.6280642  0.30948686],0.8994295762140311,"{'fitness 25': 0.7987568961227915, 'fitness 53': 0.8955358150401956, 'fitness 74': 0.9011371645572531, 'fitness 102': 0.9016157490446445}",False
13,"[[0], [2], [1], [2, 3], [2], [1], [0, 1], [1]]",0.8204016063973628,7,(((x[1]**Constant)-Constant)**Constant),"[1, 1, 1, 2, 1, 1, 2, 1]",(((x[1]**0.07919795906442584)-0.11493403585248751)**0.09221582888939595),[0.07919796 0.11493404 0.09221583],0.9205731216378182,"{'fitness 25': 0.8204016063973628, 'fitness 53': 0.9142902591081139, 'fitness 74': 0.9251220897847734, 'fitness 102': 0.9223070160205674}",False
14,"[[0], [2], [1, 0], [2, 2, 0, 0], [2, 2, 0, 2, 0, 0], [0, 0, 3], [1, 1, 1, 1, 0, 1, 0, 1, 1], [0, 0]]",0.8577740851730546,6,(((Constant**Constant)+(Constant**Constant))**Constant),"[1, 1, 1, 2, 2, 1, 2, 0]",(((0.27249074450009025**0.005681281844082231)+(0.654788725968644**0.2430561602892729))**0.02317847644824822),[0.27249074 0.00568128 0.65478873 0.24305616 0.02317848],0.9559117219364889,"{'fitness 25': 0.8577740851730546, 'fitness 53': 0.9499400350415734, 'fitness 74': 0.9604690916627516, 'fitness 102': 0.9573260391051418}",False
15,"[[0], [2], [2], [3], [1, 0, 2], [0, 3, 1, 2, 1], [1, 1, 0, 1, 1, 0], [1, 0]]",0.8729799142388812,5,((Constant**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 0]",((0.9979499158041777**0.9850562504973278)**0.4874721823180136),[0.99794992 0.98505625 0.48747218],0.9709299006957276,"{'fitness 25': 0.8729799142388812, 'fitness 53': 0.9648920705913546, 'fitness 74': 0.97551854666246, 'fitness 102': 0.9723790848333681}",False
16,"[[0], [2], [2, 2], [3, 1], [0, 2], [3, 2, 3], [1, 0, 0, 0], [0, 0, 1]]",0.8845559947815546,5,((Constant**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 0]",((0.5694128166693657**0.4974886417244072)**0.046993062266670216),[0.56941282 0.49748864 0.04699306],0.9823655460365733,"{'fitness 25': 0.8845559947815546, 'fitness 53': 0.976278906157245, 'fitness 74': 0.9869772400326995, 'fitness 102': 0.9838404919197753}",False
17,"[[0], [2], [2, 3], [3], [2, 0], [3, 2, 0, 2], [0], [0]]",0.8932067385643611,6,((x[0]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[0]**0.3856552117793929)**0.30037237740466927),[0.38565521 0.30037238],0.9921065907471046,"{'fitness 25': 0.8932067385643611, 'fitness 53': 0.9870324516450484, 'fitness 74': 0.9950559340278663, 'fitness 102': 0.994231386568399}",False
18,"[[0], [2], [2, 3], [3], [2], [0], [0, 1], [0]]",0.9095413773517101,6,((x[0]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[0]**0.6134321763204867)**0.34019394984672957),[0.61343218 0.34019395],1.0090306650594574,"{'fitness 25': 0.9095413773517101, 'fitness 53': 1.0046771578884095, 'fitness 74': 1.0107502931580503, 'fitness 102': 1.0116645441319128}",False
19,"[[0], [2], [2], [3], [], [], [1], []]",0.9126924070962013,5,((Constant**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 0]",((0.6556058242243413**0.6140853986179214)**0.16717691908984134),[0.65560582 0.6140854  0.16717692],1.0101692128437676,"{'fitness 25': 0.9126924070962013, 'fitness 53': 1.0039691669770145, 'fitness 74': 1.0148343513399734, 'fitness 102': 1.011704120214315}",False
20,"[[0], [3], [], [3, 1], [], [], [1, 0, 1, 0], []]",0.9261174247909683,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.9436119905054264,[0.94361199],1.0234396799420826,"{'fitness 25': 0.9261174247909683, 'fitness 53': 1.0171879839581504, 'fitness 74': 1.0281291098700163, 'fitness 102': 1.0250019459980813}",False
21,"[[0], [1], [2, 3], [1, 3], [2, 2, 0], [3, 2, 3], [1, 1, 0, 0], [0, 0]]",0.9360550482033394,6,(((Constant/Constant)**Constant)*x[0]),"[1, 1, 2, 1, 2, 2, 3, 1]",(((0.6615850808763807/0.34391555014508146)**0.20408688599253577)*x[0]),[0.66158508 0.34391555 0.20408689],1.037047708962198,"{'fitness 25': 0.9360550482033394, 'fitness 53': 1.039314388576775, 'fitness 74': 1.0289669489654822, 'fitness 102': 1.0428617893443364}",False
22,"[[0], [2], [3, 0], [3, 1], [2, 0], [0, 0, 3], [1, 0, 1, 1], [0, 0]]",0.9697980385955767,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.2883965569073257**0.08628570829238258),[0.28839656 0.08628571],1.0666356869131226,"{'fitness 25': 0.9697980385955767, 'fitness 53': 1.0602259650623236, 'fitness 74': 1.0713992420497163, 'fitness 102': 1.068281853627328}",False
23,"[[0], [1], [0, 3], [2, 2, 0, 0], [2, 2, 0, 2, 0, 0], [1, 0, 3, 2, 0], [1, 1, 1, 1, 0, 1, 0, 1, 1], []]",0.9862790228694438,6,((Constant**Constant)-(Constant**Constant)+Constant),"[1, 1, 2, 2, 2, 2, 3, 0]",((0.5572564492748633**0.796232929447004)-(0.32848489210927523**0.7594211921213865)+0.682796435370067),[0.55725645 0.79623293 0.32848489 0.75942119 0.68279644],1.0829408603482182,"{'fitness 25': 0.9862790228694438, 'fitness 53': 1.0764752006954494, 'fitness 74': 1.087730582718157, 'fitness 102': 1.0846167976310481}",False
24,"[[0], [3], [2], [3, 1], [], [2, 0], [1], []]",1.0019818932677993,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.8649526281081041,[0.86495263],1.0984796861066741,"{'fitness 25': 1.0019818932677993, 'fitness 53': 1.0919624654618447, 'fitness 74': 1.103293494729808, 'fitness 102': 1.1001830981283698}",False
25,"[[0], [0], [2, 3], [2], [2], [0], [1, 1], [0]]",1.0163862089139772,6,((Constant**Constant)**Constant)+Constant,"[1, 1, 2, 1, 1, 1, 2, 0]",((0.3798663850091981**0.6317292349412321)**0.8267842275784975)+0.2468973864325843,[0.37986639 0.63172923 0.82678423 0.24689739],1.1127364323881705,"{'fitness 25': 1.0163862089139772, 'fitness 53': 1.1061733354544192, 'fitness 74': 1.117571644448785, 'fitness 102': 1.1144643172613073}",False
26,"[[0], [1], [2, 3], [2, 2, 0, 0], [2, 1, 0, 2, 0, 0], [2, 1, 2, 2, 2, 0, 3, 0], [1, 1, 1, 1, 0, 1, 0, 1, 1], [0, 0]]",1.0343802730718457,6,(((Constant**Constant)**Constant)*Constant),"[1, 1, 2, 1, 1, 1, 2, 0]",(((0.91776531606467**0.19198904593951205)**0.484989290661333)*0.8381624309435664),[0.91776532 0.19198905 0.48498929 0.83816243],1.130549972347308,"{'fitness 25': 1.0343802730718457, 'fitness 53': 1.1239313867923433, 'fitness 74': 1.1354110378884483, 'fitness 102': 1.1323074923611325}",False
27,"[[0], [3], [0], [2, 1], [1, 0, 2], [], [1, 1, 1, 1, 1], []]",1.047211512338801,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.8182589960535592,[0.818259],1.1432550185125945,"{'fitness 25': 1.047211512338801, 'fitness 53': 1.136598046592009, 'fitness 74': 1.1481339468846505, 'fitness 102': 1.145033062061124}",False
28,"[[0], [2], [3, 0], [2, 2], [1, 2, 0], [0, 0, 3], [1, 0, 1, 1], [0, 0]]",1.1379748637585707,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.6811892597599332**0.8379165003966732),[0.68118926 0.8379165 ],1.233182401372455,"{'fitness 25': 1.1379748637585707, 'fitness 53': 1.2262789680612767, 'fitness 74': 1.2381755767121836, 'fitness 102': 1.235092659343905}",False
29,"[[0], [2], [3, 1], [2, 0], [1, 0, 2], [], [1, 0, 0, 1, 0, 1, 0], [1]]",1.1872881852734742,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.3203968355986956**0.3461228150997113),[0.32039684 0.34612282],1.2820799616858547,"{'fitness 25': 1.1872881852734742, 'fitness 53': 1.2750586521782121, 'fitness 74': 1.28712750209068, 'fitness 102': 1.284053730788672}",False
30,"[[0], [1], [1, 3], [3, 1], [0, 0], [0, 0, 3, 1, 2], [0, 0, 1, 0, 1, 1], [0, 0, 0]]",1.389329211234557,7,((x[0]+(x[0]+Constant/x[0]-Constant))*Constant),"[1, 1, 2, 2, 2, 5, 6, 3]",((x[0]+(x[0]+0.2745970844000577/x[0]-0.21245866236529898))*0.24099315900775864),[0.27459708 0.21245866 0.24099316],1.4848575694896013,"{'fitness 25': 1.389329211234557, 'fitness 53': 1.4791706027711706, 'fitness 74': 1.4866671569558807, 'fitness 102': 1.488734948741753}",False
31,"[[0], [2], [1, 3], [2, 2], [2, 1], [3, 1, 2, 0], [0, 0, 1], [0, 1]]",1.412658984316718,7,(((x[0]**Constant)/((x[1]-Constant)**Constant))**Constant),"[1, 1, 1, 2, 2, 2, 3, 2]",(((x[0]**0.6826574214627763)/((x[1]-0.6760259700308322)**0.19801335370728346))**0.4810648204451695),[0.68265742 0.67602597 0.19801335 0.48106482],1.4998934491377904,"{'fitness 25': 1.412658984316718, 'fitness 53': 1.4957089329404583, 'fitness 74': 1.502951667014386, 'fitness 102': 1.5010197474585272}",False
32,"[[0], [3], [], [], [1, 0, 2], [], [1, 1, 1, 1, 1], []]",1.4512784403415213,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.40528633168628114,[0.40528633],1.544216802013416,"{'fitness 25': 1.4512784403415213, 'fitness 53': 1.5367026346572588, 'fitness 74': 1.5494896176326762, 'fitness 102': 1.5464581537503121}",False
33,"[[0], [2], [3], [], [], [], [1], []]",1.4785006798008369,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.34108723433749655**0.9053445960929501),[0.34108723 0.9053446 ],1.5712776646065505,"{'fitness 25': 1.4785006798008369, 'fitness 53': 1.5637228448785285, 'fitness 74': 1.5765689092862858, 'fitness 102': 1.5735412396548372}",False
34,"[[0], [0], [3, 2], [0], [1, 2], [2, 0, 2], [1, 1, 1, 0], [0]]",1.5165278620315228,7,Constant*((Constant+Constant)*x[0]**Constant),"[1, 1, 2, 1, 2, 3, 4, 1]",0.5694330856476099*((0.4544878193872558+0.19506383654121873)*x[0]**0.8231422071541965),[0.56943309 0.45448782 0.19506384 0.82314221],1.6109940049500395,"{'fitness 25': 1.5165278620315228, 'fitness 53': 1.604975660258652, 'fitness 74': 1.6131087324440674, 'fitness 102': 1.614897622147399}",False
35,"[[0], [2], [0], [2, 1], [1, 2, 2], [3, 3, 2, 1], [1, 1, 1, 1, 1], []]",1.6268987988197097,6,(((Constant/Constant)**Constant)/(Constant*Constant)**Constant),"[1, 1, 1, 2, 3, 3, 4, 0]",(((0.021893977442528523/0.8839918844213319)**0.8121556841083729)/(0.66101031798959*0.030170534445480235)**0.3886834428892473),[0.02189398 0.88399188 0.81215568 0.66101032 0.03017053 0.38868344],1.7188736332925922,"{'fitness 25': 1.6268987988197097, 'fitness 53': 1.7111215275158118, 'fitness 74': 1.7242539691199004, 'fitness 102': 1.7212454032420645}",False
36,"[[0], [2], [0], [2, 1], [2, 2, 2], [1, 2], [1, 1, 0], [0]]",1.7824694313456946,7,((Constant**Constant)-(Constant*x[0])**Constant),"[1, 1, 1, 2, 3, 2, 3, 1]",((0.20644336484868364**0.20561260730451913)-(0.5687465723305963*x[0])**0.6580389302914343),[0.20644336 0.20561261 0.56874657 0.65803893],1.8707045277019116,"{'fitness 25': 1.7824694313456946, 'fitness 53': 1.8606661155763353, 'fitness 74': 1.8807848782072711, 'fitness 102': 1.8706625893221283}",False
37,"[[0], [2], [1], [2, 2], [0, 2], [1, 0], [1, 1, 0, 1, 1, 0], [1]]",7.122470288082867,7,(((Constant-Constant**Constant)+(x[1]**Constant))**Constant),"[1, 1, 1, 2, 2, 2, 3, 1]",(((0.8175163911044601-0.013813585844817844**0.9208991286011257)+(x[1]**0.996039011141934))**0.26966499235546104),[0.81751639 0.01381359 0.92089913 0.99603901 0.26966499],6.752320719021931,"{'fitness 25': 7.122470288082867, 'fitness 53': 6.861391926972733, 'fitness 74': 6.745621241243599, 'fitness 102': 6.649948988849462}",False
38,"[[0], [2], [2], [1, 2], [0, 2, 0], [3, 2, 3], [1, 1, 0, 1, 1, 0], [1, 0]]",13.551784916736702,7,(((Constant/Constant*x[1])**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 1]",(((0.715615673586084/0.4877316839447797*x[1])**0.8707899902415)**0.3670620733599985),[0.71561567 0.48773168 0.87078999 0.36706207],12.869192931176451,"{'fitness 25': 13.551784916736702, 'fitness 53': 13.082058106238614, 'fitness 74': 12.861753083352431, 'fitness 102': 12.663767603938314}",False
39,"[[0], [0], [2, 3], [2, 1], [2], [3, 3, 2, 1], [1, 1, 1, 1, 1], [0]]",15.881820970929756,6,((Constant**Constant)**Constant)/Constant,"[1, 1, 2, 1, 1, 1, 2, 0]",((0.23498281341609606**0.5541595575209856)**0.3855967478802591)/0.04142747457688278,[0.23498281 0.55415956 0.38559675 0.04142747],15.800621862350704,"{'fitness 25': 15.881820970929756, 'fitness 53': 15.81047007815815, 'fitness 74': 15.79433757328093, 'fitness 102': 15.797057935613033}",False
40,"[[0], [0], [2, 3], [1], [2, 0], [0, 0, 0], [1, 1, 0, 1], [1]]",21.840003211041523,7,((Constant+Constant+x[1])**Constant)+Constant,"[1, 1, 2, 1, 2, 3, 4, 1]",((0.8210398659868904+0.17348171369950482+x[1])**0.38291874728722897)+0.730885596440086,[0.82103987 0.17348171 0.38291875 0.7308856 ],20.69637946237533,"{'fitness 25': 21.840003211041523, 'fitness 53': 21.06319458365867, 'fitness 74': 20.689839436051646, 'fitness 102': 20.33610436741568}",False
41,"[[0], [2], [1], [2, 3], [2], [1], [0, 0], [1, 0]]",86.64954771324112,7,(((x[1]**Constant)-x[0])**Constant),"[1, 1, 1, 2, 1, 1, 2, 2]",(((x[1]**0.8544592028101812)-x[0])**0.6378195112160314),[0.8544592  0.63781951],81.04673208733414,"{'fitness 25': 86.64954771324112, 'fitness 53': 82.90800179222721, 'fitness 74': 81.07596250903384, 'fitness 102': 79.15623196074137}",False
42,"[[0], [2], [1], [3, 1], [2, 1], [0, 0, 3], [1, 0, 1, 0], [1, 0]]",524.7634790276492,7,((Constant+(x[1]+(Constant/x[0])))**Constant),"[1, 1, 1, 2, 2, 3, 4, 2]",((0.4063005951297518+(x[1]+(0.6059791973947216/x[0])))**0.7560621551301085),[0.4063006  0.6059792  0.75606216],482.3360474005967,"{'fitness 25': 524.7634790276492, 'fitness 53': 496.57760919546905, 'fitness 74': 482.93749778610754, 'fitness 102': 467.4930352202136}",False
43,"[[0], [0], [2, 2], [3, 1], [2, 0], [0, 0, 0], [1, 0, 0, 0], [1, 1, 1]]",1633.3275079523187,7,(Constant**Constant)+((x[1]+x[1]+x[1])**Constant),"[1, 1, 2, 2, 2, 3, 4, 3]",(0.5386566642112528**0.5240452512432066)+((x[1]+x[1]+x[1])**0.7874990779616566),[0.53865666 0.52404525 0.78749908],1497.5384085219819,"{'fitness 25': 1633.3275079523187, 'fitness 53': 1543.163505709588, 'fitness 74': 1499.6037065700496, 'fitness 102': 1449.8480132863076}",False
44,"[[0], [1], [2, 3], [0], [1, 2, 0], [2, 0, 0], [1, 0, 1, 1, 1, 1], [1]]",2130.2399810977313,7,(((Constant*x[1])+Constant**Constant)+Constant),"[1, 1, 2, 1, 2, 3, 4, 1]",(((0.49923533976107215*x[1])+0.5124678534545719**0.9983035528548736)+0.03801913706126614),[0.49923534 0.51246785 0.99830355 0.03801914],1917.8057566456246,"{'fitness 25': 2130.2399810977313, 'fitness 53': 1989.2645581801855, 'fitness 74': 1922.0487940667929, 'fitness 102': 1842.1039176898955}",False
45,"[[0], [1], [1, 0], [0, 2, 0, 0], [2, 0, 0, 2, 0, 0, 1], [2, 1, 2, 2, 2, 0, 3, 0, 2, 0, 2], [1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1], [0, 0, 1]]",2430.5567566868945,7,((Constant*Constant-x[0]*(Constant*x[0]**Constant))*Constant+Constant/Constant+Constant*x[1]+(Constant*Constant)),"[1, 1, 2, 4, 7, 11, 12, 3]",((0.4359955699123438*0.6085384001883413-x[0]*(0.1764670616337446*x[0]**0.34046310281006575))*0.5843490959470609+0.08926739245867588/0.25528766330299757+0.5695755848277323*x[1]+(0.25456151378748804*0.7000848668107926)),"[0.43599557 0.6085384  0.17646706 0.3404631  0.5843491  0.08926739
 0.25528766 0.56957558 0.25456151 0.70008487]",2188.189308015532,"{'fitness 25': 2430.5567566868945, 'fitness 53': 2269.7185021215455, 'fitness 74': 2193.0286675293783, 'fitness 102': 2101.8207543956714}",False
46,"[[0], [1], [1, 0], [2, 2, 0, 0], [2, 0, 1, 1, 1, 0], [0, 0, 2, 2, 1, 0, 3, 3, 3, 3], [1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1], [1, 0, 1]]",3431.7699735463107,7,(((Constant**Constant)+(Constant+Constant**Constant))*(Constant*x[1])-(x[0]+Constant)/(Constant/Constant)/Constant/Constant),"[1, 1, 2, 4, 6, 10, 11, 2]",(((0.629753764679401**0.7100073500437812)+(0.26105077756086004+0.5198619932027638**0.8174565903925037))*(0.513252139090354*x[1])-(x[0]+0.7178421632794073)/(0.07785400608256754/0.0018981784179237238)/0.4193165508409369/0.5090331628179545),"[0.62975376 0.71000735 0.26105078 0.51986199 0.81745659 0.51325214
 0.71784216 0.07785401 0.00189818 0.41931655 0.50903316]",3089.560819071304,"{'fitness 25': 3431.7699735463107, 'fitness 53': 3204.679932857797, 'fitness 74': 3096.396016799079, 'fitness 102': 2967.606507557037}",False
47,"[[0], [2], [0], [3, 0], [1, 0], [0, 0, 0, 2], [1, 0, 1, 1, 0, 0], [1, 0]]",4268.799454140693,7,(Constant+(x[1]+Constant)+Constant*x[0]**Constant),"[1, 1, 1, 2, 2, 4, 5, 2]",(0.4401614820912415+(x[1]+0.6914212224475971)+0.27812815003802727*x[0]**0.5874683226438996),[0.44016148 0.69142122 0.27812815 0.58746832],3843.2917018813027,"{'fitness 25': 4268.799454140693, 'fitness 53': 3986.4333274089518, 'fitness 74': 3851.79078840723, 'fitness 102': 3691.6509898277277}",False
48,"[[0], [1], [0, 1], [3, 2, 1, 3], [0, 1, 0], [1, 1, 0, 0, 3, 3, 0], [0, 1, 1, 0, 1, 1, 1, 1], [1, 1]]",34348.38763756502,7,(x[1]-(Constant-Constant**Constant)+(((x[1]+Constant)/Constant/Constant)+Constant)),"[1, 1, 2, 4, 3, 7, 8, 2]",(x[1]-(0.16437247633313412-0.34886571715242065**0.009709611208211344)+(((x[1]+0.2646540381339294)/0.305299435032531/0.4649024629341718)+0.40595876691098)),"[0.16437248 0.34886572 0.00970961 0.26465404 0.30529944 0.46490246
 0.40595877]",30925.101075037466,"{'fitness 25': 34348.38763756502, 'fitness 53': 32076.773336153146, 'fitness 74': 30993.46938982916, 'fitness 102': 29705.06049913009}",False
49,"[[0], [1], [2, 0], [2, 3, 0], [2, 2, 1], [0, 2, 2, 2], [0, 1, 1, 0, 0], [0, 1, 1]]",383962.56092885585,7,(((x[0]**Constant)**Constant)+Constant*Constant*(x[1]*x[1])),"[1, 1, 2, 3, 3, 4, 5, 3]",(((x[0]**0.43198264240508477)**0.5921204038533529)+0.24190723572529627*0.05496860611632226*(x[1]*x[1])),[0.43198264 0.5921204  0.24190724 0.05496861],313670.6901639677,"{'fitness 25': 383962.56092885585, 'fitness 53': 336429.4461409452, 'fitness 74': 314342.9029526698, 'fitness 102': 290239.72139828815}",False
